composite_file,cell_number,erythema,induration_papulation,excoriation,lichenification
composite_0149.jpg,1,1,1,0,1
composite_0149.jpg,2,3,2,2,1
composite_0149.jpg,3,1,1,0,0
composite_0149.jpg,4,1,0,0,0
composite_0149.jpg,5,1,1,2,0
composite_0149.jpg,6,2,2,0,0
composite_0149.jpg,7,2,2,1,1
composite_0149.jpg,8,2,1,0,0
composite_0149.jpg,9,0,1,0,0
composite_0150.jpg,1,3,2,2,1
composite_0150.jpg,2,1,1,0,0
composite_0150.jpg,3,2,2,1,1
composite_0150.jpg,4,1,1,0,0
composite_0150.jpg,5,2,2,1,1
composite_0150.jpg,6,0,1,0,2
composite_0150.jpg,7,1,0,0,0
composite_0150.jpg,8,0,1,0,0
composite_0150.jpg,9,1,1,0,0
composite_0151.jpg,1,2,2,1,2
composite_0151.jpg,2,2,2,2,1
composite_0151.jpg,3,2,2,1,0
composite_0151.jpg,4,2,2,2,1
composite_0151.jpg,5,1,1,0,1
composite_0151.jpg,6,0,1,0,1
composite_0151.jpg,7,2,2,1,1
composite_0151.jpg,8,1,1,0,0
composite_0151.jpg,9,0,1,0,1
composite_0152.jpg,1,0,2,0,2
composite_0152.jpg,2,1,1,0,1
composite_0152.jpg,3,0,1,0,1
composite_0152.jpg,4,2,1,0,1
composite_0152.jpg,5,3,2,3,1
composite_0152.jpg,6,1,2,0,0
composite_0152.jpg,7,1,1,0,0
composite_0152.jpg,8,2,1,0,1
composite_0152.jpg,9,1,1,0,0
composite_0153.jpg,1,1,1,0,0
composite_0153.jpg,2,1,2,2,1
composite_0153.jpg,3,0,1,1,1
composite_0153.jpg,4,1,1,0,0
composite_0153.jpg,5,2,2,1,0
composite_0153.jpg,6,1,1,1,0
composite_0153.jpg,7,0,2,0,1
composite_0153.jpg,8,2,1,1,0
composite_0153.jpg,9,2,1,1,0
composite_0154.jpg,1,2,1,2,0
composite_0154.jpg,2,2,1,1,1
composite_0154.jpg,3,3,2,1,1
composite_0154.jpg,4,0,1,0,1
composite_0154.jpg,5,2,2,1,1
